last_name,updated_at,nimsp_candidate_id,full_name,id,first_name,middle_name,district,state,votesmart_id,party,email,all_ids/0,all_ids/1,leg_id,active,transparencydata_id,nickname,photo_url,url,country,created_at,level,nimsp_id,chamber,offices/0/fax,offices/0/name,offices/0/phone,offices/0/address,offices/0/type,offices/0/email,suffixes,all_ids/2
Turner,2015-03-29 01:26:28,92608,Frank S Turner,MDL000368,Frank,S,13,md,6233,Democratic,frank.turner@house.state.md.us,MDL000368,MDL000596,MDL000368,true,da179e1bb0954faba2579fdf2efb718c,,http://mgaleg.maryland.gov/2015RS/images/turner.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=turner&stab=01,us,2010-08-27 22:54:38,state,1499,lower,,Capitol Office,410-841-3246,"131 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3986 | 301-858-3986",capitol,,,
Miller,2015-03-29 01:26:29,,Aruna Miller,MDL000404,Aruna,,15,md,127424,Democratic,runa.miller@house.state.md.us,MDL000404,MDL000558,MDL000404,true,c0a2f5b335c74b71b9958a060eb26929,,http://mgaleg.maryland.gov/2015RS/images/miller a.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=miller%20a&stab=01,us,2011-01-14 22:24:08,state,,lower,,Capitol Office,410-841-3090,"426 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3126",capitol,,,
Holmes,2015-03-29 01:26:29,80716,Marvin E Holmes Jr.,MDL000294,Marvin,E,23B,md,19380,Democratic,rvin.holmes@house.state.md.us,MDL000294,MDL000528,MDL000294,true,435d7e17a3ca49e1974833fedfa2c8a3,,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-216c.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=holmes&stab=01,us,2010-08-27 22:54:37,state,3498,lower,,Capitol Office,410-841-3310,"313 House Office Building
6 Bladen Street
Annapolis, MD 21401",capitol,,Jr.,
McDonough,2015-03-29 01:26:29,92452,Patrick L McDonough,MDL000325,Patrick,L,7,md,342,Republican,pat.mcdonough@house.state.md.us,MDL000325,MDL000554,MDL000325,true,5521301b9ad94481a5d1598e42175a7c,,http://mgaleg.maryland.gov/2015RS/images/mcdonough.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=mcdonough&stab=01,us,2010-08-27 22:54:37,state,8,lower,,Capitol Office,410-841-3334,"310 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3598",capitol,,,
Morhaim,2015-03-29 01:26:29,92476,Dan K Morhaim,MDL000332,Dan,K,11,md,6197,Democratic,dan.morhaim@house.state.md.us,MDL000332,MDL000563,MDL000332,true,1f41ac0f3a1c48749d5b1a4a1870c28b,,http://mgaleg.maryland.gov/2015RS/images/morhaim.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=morhaim&stab=01,us,2010-08-27 22:54:38,state,1485,lower,,Capitol Office,410-841-3054,"362 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3385",capitol,,,
Walker,2015-03-29 01:26:29,92618,Jay Walker,MDL000374,Jay,,26,md,68581,Democratic,jay.walker@house.state.md.us,MDL000374,MDL000604,MDL000374,true,9488335e0c6b431ba7e255e4258159a4,,http://mgaleg.maryland.gov/2015RS/images/walker.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=walker&stab=01,us,2010-08-27 22:54:38,state,8840,lower,,Capitol Office,410-841-3581,"207 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3078",capitol,,,
Carr,2015-03-29 01:26:29,,Alfred C Carr Jr.,MDL000260,Alfred,C,18,md,66414,Democratic,fred.carr@house.state.md.us,MDL000260,MDL000491,MDL000260,true,9b633074dd504a4b9fc745e4c580de83,,http://mgaleg.maryland.gov/2015RS/images/carr.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=carr&stab=01,us,2010-08-27 22:54:37,state,,lower,,Capitol Office,410-841-3638,"222 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3053",capitol,,Jr.,
Washington,2015-03-29 01:26:29,,Mary L Washington,MDL000415,Mary,L,43,md,68588,Democratic,ry.washington@house.state.md.us,MDL000415,MDL000606,MDL000415,true,f3650ee7b6c041d69282cba937fe50a7,,http://mgaleg.maryland.gov/2015RS/images/washington.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=washington&stab=01,us,2011-01-14 22:24:08,state,,lower,,Capitol Office,410-841-3476,"429 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3295 | 301-858-3295",capitol,,,
Beidle,2015-03-29 01:26:29,92174,Pamela G Beidle,MDL000246,Pamela,G,32,md,65432,Democratic,pamela.beidle@house.state.md.us,MDL000246,MDL000479,MDL000246,true,e47c56560ff3443396073c89631cce45,,http://mgaleg.maryland.gov/2015RS/images/beidle.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=beidle&stab=01,us,2010-08-27 22:54:37,state,8371,lower,,Capitol Office,410-841-3370,"165 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3347 | 301-858-3347",capitol,,,
Luedtke,2015-03-29 01:26:28,,Eric G Luedtke,MDL000401,Eric,G,14,md,125762,Democratic,eric.luedtke@house.state.md.us,MDL000401,MDL000549,MDL000401,true,4bb31eabfd564ed5916da1f1520af842,,http://mgaleg.maryland.gov/2015RS/images/luedtke.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=luedtke&stab=01,us,2011-01-14 22:24:08,state,,lower,,Capitol Office,410-841-3110,"222 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3053",capitol,,,
Robinson,2015-03-29 01:26:29,92541,Barbara A Robinson,MDL000348,Barbara,A,40,md,66507,Democratic,barbara.robinson@house.state.md.us,MDL000348,MDL000579,MDL000348,true,9a92ac2390dd47b7bb9676ffe672945e,,http://mgaleg.maryland.gov/2015RS/images/robinson.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=robinson&stab=01,us,2010-08-27 22:54:38,state,8533,lower,,Capitol Office,410-841-3520,"412 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3199",capitol,,,
Arentz,2015-03-29 01:26:28,,Steven J. Arentz,MDL000618,Steven J.,,36,md,,Republican,steven.arentz@house.state.md.us,MDL000618,,MDL000618,true,,,http://mgaleg.maryland.gov/2015RS/images/arentz01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=arentz01&stab=01,,2014-01-07 00:28:29,,,lower,,Capitol Office,410-841-3543,"308 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3098",capitol,,,
Washington,2015-03-29 01:26:29,,Alonzo T. Washington,MDL000605,Alonzo,T.,22,md,,Democratic,nzo.washington@house.state.md.us,MDL000605,,MDL000605,true,,,http://mgaleg.maryland.gov/2015RS/images/washington a.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=washington%20a&stab=01,,2013-01-07 18:34:53,,,lower,,Capitol Office,410-841-3652,"205 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3699",capitol,,,
Anderson,2015-03-29 01:26:28,92153,Curtis S Anderson,MDL000238,Curtis,S,43,md,36285,Democratic,curt.anderson@house.state.md.us,MDL000238,MDL000472,MDL000238,true,023a2051955146cba39964273b7a7bc6,Curt,http://mgaleg.maryland.gov/2015RS/images/anderson.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=anderson&stab=01,us,2010-08-27 22:54:37,state,5298,lower,,Capitol Office,410-841-3291,"314 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3024",capitol,,,
Carter,2015-03-29 01:26:29,92225,Jill P Carter,MDL000261,Jill,P,41,md,36107,Democratic,jill.carter@house.state.md.us,MDL000261,MDL000492,MDL000261,true,8cbe45f14e2a484fb5efd485f741799d,,http://mgaleg.maryland.gov/2015RS/images/carter.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=carter&stab=01,us,2010-08-27 22:54:37,state,5274,lower,,Capitol Office,410-841-3268,"416 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3251",capitol,,,
Cullison,2015-03-29 01:26:29,,Bonnie L Cullison,MDL000393,Bonnie,L,19,md,125776,Democratic,bonnie.cullison@house.state.md.us,MDL000393,MDL000499,MDL000393,true,7dabc4da4cc74775aefd1d5f7e517295,,http://mgaleg.maryland.gov/2015RS/images/cullison.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=cullison&stab=01,us,2011-01-14 22:24:08,state,,lower,,Capitol Office,410-841-3883,"350 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3882",capitol,,,
Simonaire,2015-03-29 01:26:29,,"Simonaire, Meagan C.",MDL000690,Meagan C.,,31B,md,,Republican,Meagan.Simonaire@house.state.md.us,MDL000690,,MDL000690,true,,,http://mgaleg.maryland.gov/2015RS/images/simonaire01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=simonaire01&stab=01,,2015-01-14 21:51:11,,,lower,,Capitol Office,410-841-3206,"156 House Office Building
6 Bladen Street
Annapolis, MD 21401",capitol,,,
Pena-Melnyk,2015-03-29 01:26:29,92511,Joseline A Pena-Melnyk,MDL000341,Joseline,A,21,md,68578,Democratic,joseline.pena.melnyk@house.state.md.us,MDL000341,MDL000574,MDL000341,true,b3a611ddd2e740b88c39045d4d4b43da,,http://mgaleg.maryland.gov/2015RS/images/pena.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=pena&stab=01,us,2010-08-27 22:54:38,state,8839,lower,,Capitol Office,410-841-3502,"425 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3342 | 301-858-3342",capitol,,,
Kaiser,2015-03-29 01:26:29,92393,Anne R Kaiser,MDL000306,Anne,R,14,md,36115,Democratic,nne.kaiser@house.state.md.us,MDL000306,MDL000540,MDL000306,true,e7b2a20e89414a90a110fa53f8dfd384,,http://mgaleg.maryland.gov/2015RS/images/kaiser.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kaiser&stab=01,us,2010-08-27 22:54:37,state,5277,lower,,Capitol Office,410-841-3036,"350 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3060",capitol,,,
Howard,2015-03-29 01:26:29,92369,Carolyn J.B. Howard,MDL000295,Carolyn,J.B.,24,md,6163,Democratic,carolyn.howard@house.state.md.us,MDL000295,MDL000530,MDL000295,true,e8b34c0d3a7b4c769bb2a28808becc68,,http://mgaleg.maryland.gov/2015RS/images/howard.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=howard&stab=01,us,2010-08-27 22:54:37,state,1468,lower,,Capitol Office,410-841-3919,"301 House Office Building
6 Bladen Street
Annapolis, MD 21401",capitol,,,
Bromwell,2015-03-29 01:26:29,92204,Eric M Bromwell,MDL000255,Eric,M,8,md,36188,Democratic,eric.bromwell@house.state.md.us,MDL000255,MDL000486,MDL000255,true,357bdf6184b14223974806c57353d7f3,,http://mgaleg.maryland.gov/2015RS/images/bromwell.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=bromwell&stab=01,us,2010-08-27 22:54:37,state,5285,lower,,Capitol Office,410-841-3766,"415 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3850",capitol,,,
Kelly,2015-03-29 01:26:29,,Ariana B Kelly,MDL000400,Ariana,B,16,md,127434,Democratic,riana.kelly@house.state.md.us,MDL000400,MDL000541,MDL000400,true,e948bfb670da4e9d952d0e78538baa1a,,http://mgaleg.maryland.gov/2015RS/images/kelly a.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kelly%20a&stab=01,us,2011-01-14 22:24:08,state,,lower,,Capitol Office,410-841-3642,"210 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3026",capitol,,,
Oaks,2015-03-29 01:26:29,92496,Nathaniel T Oaks,MDL000338,Nathaniel,T,41,md,6205,Democratic,nathaniel.oaks@house.state.md.us,MDL000338,MDL000569,MDL000338,true,4e7316e9b8184e29a4b97db8124eebd2,,http://mgaleg.maryland.gov/2015RS/images/oaks.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=oaks&stab=01,us,2010-08-27 22:54:38,state,1489,lower,,Capitol Office,410-841-3283,"411 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3267",capitol,,,
Glenn,2015-03-29 01:26:28,92317,Cheryl D Glenn,MDL000282,Cheryl,D,45,md,66525,Democratic,cheryl.glenn@house.state.md.us,MDL000282,MDL000516,MDL000282,true,64616b9d8edb437e94e0ee869c3d4ce3,,http://mgaleg.maryland.gov/2015RS/images/glenn.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=glenn&stab=01,us,2010-08-27 22:54:37,state,8536,lower,,Capitol Office,410-841-3257,"413 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3019",capitol,,,
Rosenberg,2015-03-29 01:26:28,92546,Samuel I Rosenberg,MDL000349,Samuel,I,41,md,6222,Democratic,samuel.rosenberg@house.state.md.us,MDL000349,MDL000581,MDL000349,true,3b060b2fef3e41888975786bfcc918fa,,http://mgaleg.maryland.gov/2015RS/images/rosenberg.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=rosenberg&stab=01,us,2010-08-27 22:54:38,state,1496,lower,,Capitol Office,410-841-3297,"365 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3179",capitol,,,
Clippinger,2015-03-29 01:26:28,,Luke H. Clippinger,MDL000391,Luke,,46,md,126006,Democratic,uke.clippinger@house.state.md.us,MDL000391,MDL000420,MDL000391,true,14a970c4b4204074ba3bc45d02de58fa,,http://mgaleg.maryland.gov/2015RS/images/clippinger.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=clippinger&stab=01,us,2011-01-14 22:24:08,state,,lower,,Capitol Office,410-841-3303,"350 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3537",capitol,,,MDL000494
Smith,2015-03-29 01:26:29,,"Smith, William C., Jr.",MDL000623,William C,,20,md,,Democratic,Will.Smith@house.state.md.us,MDL000623,MDL000707,MDL000623,true,,,http://mgaleg.maryland.gov/2015RS/images/smith01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=smith01&stab=01,,2015-01-14 21:51:09,,,lower,,Capitol Office,410-841-3493,"224 House Office Building
6 Bladen Street
Annapolis, MD 21401",capitol,,Jr.,
Korman,2015-03-29 01:26:29,,"Korman, Marc",MDL000657,Marc,,16,md,,Democratic,Marc.Korman@house.state.md.us,MDL000657,,MDL000657,true,,,http://mgaleg.maryland.gov/2015RS/images/korman01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=korman01&stab=01,,2015-01-14 21:51:10,,,lower,,Capitol Office,410-841-3649,"210 House Office Building
6 Bladen Street
Annapolis, MD 21401",capitol,,,
Rose,2015-03-29 01:26:29,,"Rose, April",MDL000718,April,,5,md,,Republican,April.Rose@house.state.md.us,MDL000718,,MDL000718,true,,,http://mgaleg.maryland.gov/2015RS/images/rose01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=rose01&stab=01,,2015-03-18 01:13:44,,,lower,,Capitol Office,410-841-3070,"320 House Office Building
6 Bladen St.
Annapolis, MD 21401",capitol,,,
Rey,2015-03-29 01:26:28,,"Rey, Deborah C.",MDL000693,Deborah C.,,29B,md,,Republican,Deborah.Rey@house.state.md.us,MDL000693,,MDL000693,true,,,http://mgaleg.maryland.gov/2015RS/images/rey01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=rey01&stab=01,,2015-01-14 21:51:11,,,lower,,Capitol Office,410-841-3227,"319 House Office Building
6 Bladen Street
Annapolis, MD 21401",capitol,,,
Vaughn,2015-03-29 01:26:28,92615,Michael L Vaughn,MDL000372,Michael,L,24,md,36240,Democratic,michael.vaughn@house.state.md.us,MDL000372,MDL000601,MDL000372,true,be975ee5c58047a58dc6c518a299fcb5,,http://mgaleg.maryland.gov/2015RS/images/vaughn.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=vaughn&stab=01,us,2010-08-27 22:54:38,state,5290,lower,,Capitol Office,410-841-3691,"423 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3055",capitol,,,
Wilson,2015-03-29 01:26:29,,C. T. Wilson,MDL000416,C. T.,,28,md,125914,Democratic,ct.wilson@house.state.md.us,MDL000416,MDL000608,MDL000416,true,d629b73895494bd4920f918d3f36202f,,http://mgaleg.maryland.gov/2015RS/images/wilson.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=wilson&stab=01,us,2011-01-14 22:24:08,state,,lower,,Capitol Office,410-841-3325,"422 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3367 | 301-858-3367",capitol,,,
Valderrama,2015-03-29 01:26:28,92611,Kriselda Valderrama,MDL000370,Kriselda,,26,md,67683,Democratic,kris.valderrama@house.state.md.us,MDL000370,MDL000598,MDL000370,true,ec943537c14a4242b55adda77f16ae6d,,http://mgaleg.maryland.gov/2015RS/images/valderrama.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=valderrama&stab=01,us,2010-08-27 22:54:38,state,8723,lower,,Capitol Office,410-841-3210,"205 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3525",capitol,,,
Hammen,2015-03-29 01:26:29,92340,Peter A Hammen,MDL000287,Peter,A,46,md,6155,Democratic,peter.hammen@house.state.md.us,MDL000287,MDL000521,MDL000287,true,33be6a931de145d2a2675a9bc3361a16,,http://mgaleg.maryland.gov/2015RS/images/hammen.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=hammen&stab=01,us,2010-08-27 22:54:37,state,1462,lower,,Capitol Office,410-841-3772,"241 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3409",capitol,,,
Gutierrez,2015-03-29 01:26:29,92333,Ana Sol Gutierrez,MDL000284,Ana Sol,,18,md,19375,Democratic,na.gutierrez@house.state.md.us,MDL000284,MDL000518,MDL000284,true,ea0889147aaf425996e6e9d0ada5a7da,,http://mgaleg.maryland.gov/2015RS/images/gutierrez.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=gutierrez&stab=01,us,2010-08-27 22:54:37,state,3496,lower,,Capitol Office,410-841-3181,"404 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3232",capitol,,,
Frick,2015-03-29 01:26:28,,C. William Frick,MDL000277,C. William,,16,md,101240,Democratic,bill.frick@house.state.md.us,MDL000277,MDL000510,MDL000277,true,2bae3e7eaa8d42018622026d8d7332d6,,http://mgaleg.maryland.gov/2015RS/images/frick.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=frick&stab=01,us,2010-08-27 22:54:37,state,,lower,,Capitol Office,410-841-3454,"350 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3457",capitol,,,
Kramer,2015-03-29 01:26:28,92414,Benjamin F Kramer,MDL000311,Benjamin,F,19,md,68569,Democratic,benjamin.kramer@house.state.md.us,MDL000311,MDL000544,MDL000311,true,9514291b52e744bea57b190b0202734e,,http://mgaleg.maryland.gov/2015RS/images/kramer b.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kramer%20b&stab=01,us,2010-08-27 22:54:37,state,8835,lower,,Capitol Office,410-841-3485,"226 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3875",capitol,,,
Hornberger,2015-03-29 01:24:00,,"Hornberger, Kevin Bailey",MDL000692,Kevin Bailey,,35A,md,,Republican,Kevin.Hornberger@house.state.md.us,MDL000692,,MDL000692,true,,,http://mgaleg.maryland.gov/2015RS/images/hornberger01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=hornberger01&stab=01,,2015-01-14 21:51:11,,,lower,,Capitol Office,410-841-3284,"410  House Office Building
6 Bladen Street
Annapolis, MD 21401",capitol,,,
Healey,2015-03-29 01:26:29,92351,Anne Healey,MDL000290,Anne,,22,md,6158,Democratic,nne.healey@house.state.md.us,MDL000290,MDL000524,MDL000290,true,c6604976d58e459baf7f1edc90287737,,http://mgaleg.maryland.gov/2015RS/images/healey.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=healey&stab=01,us,2010-08-27 22:54:37,state,1464,lower,,Capitol Office,410-841-3961,"361 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3223",capitol,,,
Stein,2015-03-29 01:26:29,92589,Dana M Stein,MDL000361,Dana,M,11,md,36190,Democratic,dana.stein@house.state.md.us,MDL000361,MDL000589,MDL000361,true,fa8de4817d8443dd9b0ca4218940813b,,http://mgaleg.maryland.gov/2015RS/images/stein.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=stein&stab=01,us,2010-08-27 22:54:38,state,5286,lower,,Capitol Office,410-841-3527,"251 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3373",capitol,,,
Jameson,2015-03-29 01:26:28,92384,Sally Y Jameson,MDL000301,Sally,Y,28,md,36479,Democratic,sally.jameson@house.state.md.us,MDL000301,MDL000537,MDL000301,true,0f9d8a1e7cff45c192bb4522d09088cf,,http://mgaleg.maryland.gov/2015RS/images/jameson.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=jameson&stab=01,us,2010-08-27 22:54:37,state,5325,lower,,Capitol Office,410-841-3337,"231 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3277",capitol,,,
Barkley,2015-03-29 01:26:28,92166,Charles E Barkley,MDL000240,Charles,E,39,md,19121,Democratic,charles.barkley@house.state.md.us,MDL000240,MDL000475,MDL000240,true,576cb3843b7942239330682b4463e469,,http://mgaleg.maryland.gov/2015RS/images/barkley.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=barkley&stab=01,us,2010-08-27 22:54:37,state,3477,lower,,Capitol Office,410-841-3001,"223 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3009",capitol,,,
Davis,2015-03-29 01:26:27,92255,Dereck E Davis,MDL000267,Dereck,E,25,md,6128,Democratic,dereck.davis@house.state.md.us,MDL000267,MDL000500,MDL000267,true,1040b38f972d4c2093136f1b019e806a,,http://mgaleg.maryland.gov/2015RS/images/davis d.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=davis%20d&stab=01,us,2010-08-27 22:54:37,state,1449,lower,,Capitol Office,410-841-3519,"231 House Office Building
6 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3558",capitol,,,
