indexmatch,score2017,lifetimescore,rownum,full_name,id,district,district_padded,sort1,party,email,twitter
1A,33,47,46,Wendell R. Beitzel,MDL000247,1A,01A,1,R,wendell.beitzel@house.state.md.us,bietzelw
1B,17,17,47,Jason C. Buckel,MDL000637,1B,01B,1,R,Jason.Buckel@house.state.md.us,
1C,17,27,48,Mike McKay,MDL000628,1C,01C,1,R,Mike.McKay@house.state.md.us,lavaledryclean
2A,33,17,71,Neil Parrott,MDL000648,2A,02A,2,R,neil.parrott@house.state.md.us,neilparrott
2A,25,30,70,William J. Wivell,MDL000719,2A,02A,2,R,william.wivell@house.state.md.us,
2B,17,17,72,Brett Wilson,MDL000696,2B,02B,2,R,brett.wilson@house.state.md.us,
3A,100,100,85,Karen Lewis Young,MDL000675,3A,03A,3,D,Karen.Young@house.state.md.us,KarenLewisYoung
3A,100,100,86,Carol L. Krimm,MDL000672,3A,03A,3,D,Carol.Krimm@house.state.md.us,
3B,0,19,87,William Folden,MDL000699,3B,03B,3,R,William.Folden@house.state.md.us,
4,17,26,1,Kathy Afzali,MDL000676,4,004,4,R,kathy.afzali@house.state.md.us,Kathy_Afzali
4,17,36,2,Barrie S. Ciliberti,MDL000716,4,004,4,R,Barrie.Ciliberti@house.state.md.us,
4,50,45,3,"David E. Vogt, III",MDL000687,4,004,4,R,David.Vogt@house.state.md.us,DavidVogt_MD
5,33,36,5,Susan W. Krebs,MDL000653,5,005,5,R,susan.krebs@house.state.md.us,
5,33,22,4,April Rose,MDL000718,5,005,5,R,April.Rose@house.state.md.us,
5,33,33,6,Haven Shoemaker,MDL000655,5,005,5,R,Haven.Shoemaker@house.state.md.us,Commshoemaker
6,17,22,9,"Robin L. Grammer, Jr.",MDL000681,6,006,6,R,Robin.Grammer@house.state.md.us,RobinGrammer
6,33,22,7,Robert B. Long,MDL000658,6,006,6,R,Bob.Long@house.state.md.us,DelegateLong
6,17,17,8,Ric Metzgar,MDL000685,6,006,6,R,Ric.Metzgar@house.state.md.us,
7,29,17,12,Richard K. Impallaria,MDL000298,7,007,7,R,rick.impallaria@house.state.md.us,
7,17,23,10,Patrick L. McDonough,MDL000325,7,007,7,R,pat.mcdonough@house.state.md.us,Pat_McDonough
7,33,21,11,Kathy J. Szeliga,MDL000412,7,007,7,R,kathy.szeliga@house.state.md.us,MarylandKathy
8,100,77,13,Eric M. Bromwell,MDL000255,8,008,8,D,eric.bromwell@house.state.md.us,EricBromwell
8,50,50,15,John W.E. Cluster Jr.,MDL000392,8,008,8,R,john.cluster@house.state.md.us,
8,67,81,14,Christian Miele,MDL000673,8,008,8,R,Christian.Miele@house.state.md.us,Christian_Miele
9A,17,17,103,Trent Kittleman,MDL000671,9A,09A,9,R,Trent.Kittleman@house.state.md.us,TrentKittleman
9A,0,8,104,Warren E. Miller,MDL000328,9A,09A,9,R,warren.miller@house.state.md.us,delwarmill
9B,63,60,105,Robert L. Flanagan,MDL000631,9B,09B,9,R,Bob.Flanagan@house.state.md.us,FlanaganForEC
10,100,100,16,Benjamin Brooks,MDL000625,10,010,10,D,Benjamin.Brooks@house.state.md.us,BenBrooksSr
10,71,85,17,Jay Jalisi,MDL000638,10,010,10,D,Jay.Jalisi@house.state.md.us,FriendsofJalisi
10,100,94,18,Adrienne A. Jones,MDL000304,10,010,10,D,drienne.jones@house.state.md.us,
