last_name,updated_at,full_name,id,first_name,middle_name,district,state,party,email,all_ids/0,leg_id,active,photo_url,url,created_at,chamber,offices/0/fax,offices/0/name,offices/0/phone,offices/0/address,offices/0/type,offices/0/email,suffixes,nimsp_candidate_id,votesmart_id,all_ids/1,transparencydata_id,nickname,country,level,nimsp_id,all_ids/2
Lee,2015-03-29 01:26:28,"Lee, Susan C.",MDL000701,Susan C.,,16,md,Democratic,susan.lee@senate.state.md.us,MDL000701,MDL000701,true,http://mgaleg.maryland.gov/2015RS/images/lee.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=lee&stab=01,2015-01-14 21:51:11,upper,,Capitol Office,410-841-3124,"222 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3424",capitol,,,,,,,,,,,
Serafini,2015-03-29 01:26:27,"Serafini, Andrew A.",MDL000709,Andrew A.,,2,md,Republican,ndrew.serafini@senate.state.md.us,MDL000709,MDL000709,true,http://mgaleg.maryland.gov/2015RS/images/serafini01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=serafini01&stab=01,2015-02-03 00:37:10,upper,,Capitol Office,410-841-3903,"402 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401",capitol,,,,,,,,,,,
Kasemeyer,2015-03-29 01:26:29,Edward J Kasemeyer,MDL000211,Edward,J,12,md,Democratic,edward.kasemeyer@senate.state.md.us,MDL000211,MDL000211,true,http://mgaleg.maryland.gov/2015RS/images/kasemeyer.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kasemeyer&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3653,"3 West Miller Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3091",capitol,,,92394,6080,MDL000444,8e647f39b9a7407ab9a6bb69bfec359c,,us,state,1424,
Ramirez,2015-03-29 01:26:28,Victor R Ramirez,MDL000344,Victor,R,47,md,Democratic,victor.ramirez@senate.state.md.us,MDL000344,MDL000344,true,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-3280b.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ramirez&stab=01,2010-08-27 22:54:38,upper,,Capitol Office,410-841-3745,"303 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3387",capitol,,,92532,36287,MDL000385,d9274c0addb64a748f73e28045055190,,us,state,5299,MDL000461
Feldman,2015-03-29 01:26:29,Brian J Feldman,MDL000275,Brian,J,15,md,Democratic,brian.feldman@senate.state.md.us,MDL000275,MDL000275,true,http://mgaleg.maryland.gov/2015RS/images/feldman.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=feldman&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3169,"104 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3607 | 301-858-3607",capitol,,,92284,36097,MDL000507,7712fa3e185744f9a9883e1e5501506a,,us,state,5272,MDL000615
Rosapepe,2015-03-29 01:26:29,James C Rosapepe,MDL000232,James,C,21,md,Democratic,jim.rosapepe@senate.state.md.us,MDL000232,MDL000232,true,http://mgaleg.maryland.gov/2015RS/images/rosapepe.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=rosapepe&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3141,"314 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3195 | 301-858-3195",capitol,,,92544,6219,MDL000465,23f140bacb4942a2bd6ccae2551f2b00,,us,state,1494,
Raskin,2015-03-29 01:26:29,Jamin B Raskin,MDL000229,Jamin,B,20,md,Democratic,jamie.raskin@senate.state.md.us,MDL000229,MDL000229,true,http://mgaleg.maryland.gov/2015RS/images/raskin.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=raskin&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3634,"122 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3166",capitol,,,92534,65904,MDL000462,47b73dea81e545628bcf956651c93224,Jaime,us,state,8445,
Madaleno,2015-03-29 01:26:29,Richard S Madaleno Jr.,MDL000218,Richard,S,18,md,Democratic,richard.madaleno@senate.state.md.us,MDL000218,MDL000218,true,http://mgaleg.maryland.gov/2015RS/images/madaleno.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=madaleno&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3137,"3W Miller Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 301-858-3676",capitol,,Jr.,92433,36449,MDL000449,3a54839b7df44ddaa0037a9e5eba58dd,,us,state,5319,
Eckardt,2015-03-29 01:26:28,"Eckardt, Adelaide C.",MDL000698,Adelaide C.,,37,md,Republican,delaide.eckardt@senate.state.md.us,MDL000698,MDL000698,true,http://mgaleg.maryland.gov/2015RS/images/eckardt.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=eckardt&stab=01,2015-01-14 21:51:11,upper,,Capitol Office,410-841-3590,"322 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3299",capitol,,,,,,,,,,,
Mathias,2015-03-29 01:26:29,James N Mathias Jr.,MDL000322,James,N,38,md,Democratic,james.mathias@senate.state.md.us,MDL000322,MDL000322,true,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-1356b.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=mathias&stab=01,2010-08-27 22:54:37,upper,,Capitol Office,410-841-3645,"216 James Senate Office Building
11 Bladen Street
Annapolis, MD 21401
Fax: 410-841-3006",capitol,,Jr.,92442,65270,MDL000383,47e4131ea83742ef97a1a2f512f790a1,,us,state,8350,MDL000451
