score2017,lifetimescore,full_name,district,party,email,leg_id,url,twitter
20,38,George C. Edwards,1,R,george.edwards@senate.state.md.us,MDL000199,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=edwards&stab=01,
0,26, Andrew A. Serafini,2,R,ndrew.serafini@senate.state.md.us,MDL000709,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=serafini01&stab=01,
100,89,Ronald N. Young,3,D,ronald.young@senate.state.md.us,MDL000387,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=young&stab=01,SenRonYoung
20,16,Michael J. Hough ,4,R,chael.hough@senate.state.md.us,MDL000702,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=hough&stab=01,houghdelegate
20,20,Justin Ready,5,R,justin.ready@senate.state.md.us,MDL000710,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ready01&stab=01,JustinReady
14,32,Johnny Ray Salling,6,R,JohnnyRay.Salling@senate.state.md.us,MDL000680,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=salling01&stab=01,
0,23,J. B. Jennings,7,R,jb.jennings@senate.state.md.us,MDL000303,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=jennings&stab=01,SenatorJennings
100,76,Katherine Klausmeier,8,D,katherine.klausmeier@senate.state.md.us,MDL000215,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=klausmeier&stab=01,
0,13, Gail H. Bates,9,R,gail.bates@senate.state.md.us,MDL000633,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=bates&stab=01,GailHBates
100,77,Delores G. Kelley,10,D,delores.kelley@senate.state.md.us,MDL000212,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kelley&stab=01,DeloresGKelley
100,85,Robert A. Zirkin,11,D,bobby.zirkin@senate.state.md.us,MDL000236,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=zirkin&stab=01,ShirleyNPulliam
100,76,Edward J. Kasemeyer,12,D,edward.kasemeyer@senate.state.md.us,MDL000211,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kasemeyer&stab=01,
100,96,Guy Guzzone,13,D,guy.guzzone@senate.state.md.us,MDL000639,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=guzzone&stab=01,
100,96,Craig J. Zucker,14,D,craig.zucker@senate.state.md.us,MDL000331,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=zucker01&stab=01,GuyGuzzone
100,89,Brian J. Feldman,15,D,brian.feldman@senate.state.md.us,MDL000275,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=feldman&stab=01,BrianJFeldman
100,98,Susan C. Lee,16,D,susan.lee@senate.state.md.us,MDL000701,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=lee&stab=01,
100,100,Cheryl C. Kagan ,17,D,,MDL000624,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kagan01&stab=01,CherylKagan
100,93,Richard S. Madaleno Jr.,18,D,richard.madaleno@senate.state.md.us,MDL000218,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=madaleno&stab=01,RichMadaleno
100,100,Roger Manno,19,D,roger.manno@senate.state.md.us,MDL000321,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=manno&stab=01,RogerManno
100,98,William C. Smith,20,D,will.smith@senate.state.md.us,MDL000229,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=raskin&stab=01,willcsmithjr
100,98,Jim Rosapepe,21,D,jim.rosapepe@senate.state.md.us,MDL000232,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=rosapepe&stab=01,
100,99,Paul G. Pinsky,22,D,paul.pinsky@senate.state.md.us,MDL000226,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=pinsky&stab=01,paulpinsky
100,86,Douglas J.J. Peters,23,D,douglas.peters@senate.state.md.us,MDL000225,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=peters&stab=01,SenatorPeters
100,90,Joanne C. Benson,24,D,joanne.benson@senate.state.md.us,MDL000248,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=benson&stab=01,bensonteam24
100,81,Ulysses Currie,25,D,ulysses.currie@senate.state.md.us,MDL000195,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=currie&stab=01,
